ServiceStationCode,ServiceStationName
291,caltex longueville
292,caltex northmead
293,caltex woolworths carlingford
294,caltex kingsford
295,united petroleum yagoona
296,bp west pennant hills
297,7-eleven edensor park
298,united petroleum dee why
299,coles express stanmore
300,budget bexley
301,bp express northwood
302,coles express woolloomooloo
303,coles express berowra
304,coles express hoxton park
305,coles express cabramatta
306,coles express casula
307,coles express hurstville
308,coles express cremorne
309,coles express parramatta
310,caltex woolworths carnes hill
311,budget campsie
312,coles express hornsby
313,coles express narrabeen
314,coles express greenacre
315,coles express liverpool
316,coles express strathfield
317,coles express annandale
318,coles express rouse hill
319,coles express heathcote
320,coles express brookvale
321,coles express dundas
322,coles express thornleigh
323,coles express ultimo
324,7-eleven pendle hill
325,7-eleven kings park
326,7-eleven woolooware
327,7-eleven kellyville
328,7-eleven north rocks
329,coles express avalon beach
330,7-eleven dee why
331,7-eleven strathfield south
332,7-eleven merrylands
333,7-eleven west pennant hills
334,7-eleven greenacre
335,coles express neutral bay
336,coles express dural
337,coles express wahroonga
338,coles express cammeray
339,bp carss park
340,independent glenfield
341,7-eleven parramatta
342,coles express pymble
343,coles express st ives
344,coles express strathfield south
345,metro petroleum blacktown
346,west yagoona bp
347,metro sunnyholt rd blacktown
348,caltex woolworths kellyville
349,caltex woolworths strathfield
350,caltex woolworths chullora
351,7-eleven mosman
352,7-eleven berowra
353,payless fuel sydenham
354,bp allambie heights
355,united petroleum waterloo
356,speedway miranda
357,bp enfield
358,bp mascot
359,metro fuel blacktown
360,metro belmore
361,united petroleum yagoona south
362,bp gymea
363,westside freshwater
364,ultra manly
365,metro toongabbie
366,caltex woolworths bankstown
367,caltex woolworths menai
368,metro petroleum bexley north
369,caltex woolworths turramurra
370,metro fuel kogarah
371,budget auburn
372,metro fairfield
373,metro fuel condell park
374,bp kirrawee
375,bp bexley
376,metro bankstown
377,speedway west ryde
378,budget petrol ashfield
379,metro leichhardt
380,caltex north bondi
381,caltex rosebay
382,caltex woolworths woollahra
383,caltex star mart dee why
384,caltex alexandria
385,caltex starmart punchbowl
386,caltex mascot
387,caltex manly vale
388,caltex strathfield south
389,the foodary croydon
390,costco casula (members only)
391,caltex menai
392,caltex kellyville
393,caltex star mart cherrybrook
394,caltex lilli pilli
395,caltex woolooware
396,caltex woolworths greenacre
397,ap punchbowl
398,coles express merrylands
399,speedway arncliffe
400,shell cromer
401,bp warwick farm
402,budget petrol matraville
403,caltex woolworths north narrabeen
404,caltex woolworths newport
405,caltex woolworths peakhurst
406,bp loftus
407,7-eleven liverpool
408,7-eleven narrabeen
409,7-eleven menai
410,7-eleven croydon park
411,7-eleven riverwood
412,7-eleven ashfield
413,7-eleven penshurst
414,7-eleven newport
415,7-eleven mona vale
416,bp fox hills
417,caltex woolworths north liverpool
418,bp roseville
419,bp denistone east
420,independent west pymble
421,united petroleum dee why pittwater
422,caltex narwee
423,caltex star mart penshurst
424,caltex woolworths
425,caltex kingsgrove
426,caltex woolworths revesby
427,independent canley heights
428,budget petrol eastlakes
429,bp artarmon
430,bp forestville
431,speedway bankstown
432,bp balgowlah
433,bp naremburn
434,bp carlingford
435,caltex neutral bay
436,united prairiewood
437,bp thornleigh
438,caltex star mart concord west
439,bp summer hill
440,bp pymble
441,metro petroleum hurlstone park
442,bp cronulla
443,bp canterbury
444,bp potts hill t/s
445,bp milperra
446,caltex star mart narrabeen
447,bp revesby
448,shell liverpool
449,bp ashfield
450,bp bankstown airport
451,bp wiley park
452,bp rozelle
453,bp kingsford
454,bp mortdale
455,bp south moorebank
456,independent girraween
457,caltex hornsby heights
458,bp casula
459,7-eleven haberfield
460,7-eleven bonnyrigg
461,7-eleven petersham
462,7-eleven st ives
463,7-eleven wahroonga
464,7-eleven hurlstone park
465,7-eleven lindfield
466,7-eleven turramurra
467,7-eleven killara
468,metro castle cove
469,caltex woolworths leichardt
470,bp dundas
471,caltex st ives
472,bp kingsgrove
473,7-eleven camperdown
474,caltex st ives north
475,bobbin head petrol station
476,independent west hoxton
477,bp guildford
478,metro fuel
479,metro petroleum earlwood
480,metro croydon park
481,metro fuel jannali
482,metro tempe
483,enhance granville
484,bp matraville
485,metro fuel north avalon
486,metro fuel greenacre
487,metro revesby west
488,bp lugarno
489,metro petroleum narwee
490,bp turramurra
491,metro marrickville
492,westside greenacre
493,bp botany
494,metro bonnyrigg
495,metro peakhurst
496,metro petroleum south hurstville
497,metro lane cove
498,united terrey hills
499,caltex woolworths dural
500,7-eleven enmore
501,caltex woolworths hoxton park
502,7-eleven green valley
503,caltex heathcote
504,caltex woolworths waitara
505,caltex wow heathcote
506,caltex star mart dural
507,caltex berowra
508,7-eleven burwood
509,7-eleven lurnea
510,caltex mount colah
511,caltex kenthurst
512,metro peakhurst east
513,westside kenthurst
514,bp kellyville
515,bp st peters (nsw)
516,bp rosehill
517,bp runway
518,bp asquith
519,caltex starmart concord
520,metro petroleum chester hill
521,speedway revesby
522,bp hoxton park
523,metro fuel alexandria
524,7 express carlton
525,bp bankstown
526,caltex star mart rydalmere
527,caltex woolworths baulkham hills 22464
528,metro petroleum lakemba
529,bp manly
530,caltex miller
531,metro fuel wiley park
532,bp bexley north
533,7-eleven granville
534,7-eleven granville east
535,united petroleum rydalmere
536,budget petrol bexley road campsie
537,caltex granville
538,caltex starmart manly
539,bp auburn
540,budget petrol petersham
541,bp leppington
542,independent marrickville
543,bp thornton
544,speedway mt pritchard
545,speedway meadows
546,metro milperra
547,bp greenfield park
548,bp merrylands west
549,bp hoxton park airfield
550,united sutherland
551,bp mosman (0926)
552,bp mona vale
553,bp hornsby
554,bp dural
555,bp caringbah
556,bp peninsula
557,bp engadine
558,metro fuel hornsby
559,bp rydalmere
560,bp camperdown
561,independent ramsgate
562,bp prestons
563,budget erskineville
564,bp liverpool
565,bp rockdale
566,bp croydon park
567,bp normanhurst
568,independent turramurra
569,bp baulkham hills
570,bp rose bay
571,calvi petrol station
572,metro bexley
573,metro willoughby
574,metro sefton
575,bp haberfield
576,bp belfield
577,independent rosebery
578,independent wiley park
579,metro fuel cremorne
580,enhance merrylands
581,speedway regents park
582,speedway parramatta
583,budget petrol mascot
584,caltex horsley park
585,united beacon hill
586,xpress fuels
587,bp epping
588,united rozelle
589,budget earlwood
590,metro fuel haberfield
591,westside blakehurst
592,bp penshurst
593,sparkles petroleum clovelly
594,speedway haberfield
595,bp smithfield
596,speedway caringbah
597,bp lane cove
598,speedway birrong
599,budget telopea
600,budget west ryde
601,prime earlwood
602,speedway casula
603,speedway northwood
604,apw
605,bp edgecliff
606,gas to connect
607,metro fuel croydon
608,mobil 1 carlingford car care
609,puma wetherill park
610,bkb
611,bp mosman (9542)
612,caltex five dock
613,total fuel cabramatta
614,speedway north st marys
615,caltex woolworths berkshire park
616,caltex st marys
617,coles express berkshire park
618,bp maraylya
619,caltex woolworths plumpton
620,westside doonside
