ServiceStationCode,ServiceStationName
236,CALTEX MOOREBANK
237,Caltex Wentworthville
238,Caltex Woolworths Miranda
239,BP Horsley Park
240,Caltex Kirrawee
241,7-Eleven Blacktown
242,Metro Fuel Killarney Heights
243,Metro Petroleum Forestville
244,Metro Pendle Hill
245,7-Eleven Carlingford
246,Caltex Star Mart Drummoyne
247,Caltex Chipping Norton
248,Caltex Starmart Homebush
249,Caltex Taren Point
250,Caltex Star Mart Canley Heights
251,Caltex Padstow
252,Caltex North Ryde
253,Caltex Sylvania Heights
254,Caltex Pendle Hill
255,Caltex Woolworths Fairfield Heights
256,7-Eleven Matraville
257,7-Eleven Edmondson Park
258,7-Eleven Five Dock
259,7-Eleven Sutherland
260,7-Eleven Drummoyne
261,7-Eleven Maroubra
262,7-Eleven Caringbah
263,7-Eleven Gymea
264,7-Eleven Arndell Park
265,7-Eleven Lane Cove
266,7-Eleven Artarmon
267,7-Eleven Fairfield
268,Speedway Bass Hill
269,7-Eleven Kensington
270,7-Eleven Casula
271,7-Eleven Rozelle
272,7-Eleven Castle Hill
273,7-Eleven Roseville
274,7-Eleven Moorebank
275,7-Eleven Northmead
276,7-Eleven Bexley
277,Caltex Woolworths Brookvale
278,BP Yagoona
279,Budget Moorebank
280,Coles Express Kingsgrove
281,Coles Express Pennant Hills
282,Coles Express Hunters Hill
283,Caltex Woolworths Prospect
284,SHELL LANSVALE WEST
285,Caltex Starmart Brookvale
286,Caltex Wow Rozelle
287,Caltex Lane Cove West
288,Caltex Belrose
289,CALTEX STAR SHOP CARLINGFORD COURT
290,Caltex Crows Nest
291,Caltex Kensington
292,Caltex Longueville
293,Caltex Northmead
294,Caltex Woolworths Carlingford
295,Caltex Kingsford
296,United Petroleum Yagoona
297,BP West Pennant Hills
298,7-Eleven Edensor Park
299,United Petroleum Dee Why
300,Coles Express Stanmore
301,Budget Bexley
302,BP Express Northwood
303,Coles Express Woolloomooloo
304,Coles Express Berowra
305,Coles Express Hoxton Park
306,Coles Express Cabramatta
307,Coles Express Casula
308,Coles Express Hurstville
309,Coles Express Cremorne
310,Coles Express Parramatta
311,Caltex Woolworths Carnes Hill
312,Budget Campsie
313,Coles Express Hornsby
314,Coles Express Narrabeen
315,Coles Express Greenacre
316,Coles Express Liverpool
317,Coles Express Strathfield
318,Coles Express Annandale
319,Coles Express Rouse Hill
320,Coles Express Heathcote
321,Coles Express Brookvale
322,Coles Express Dundas
323,Coles Express Thornleigh
324,Coles Express Ultimo
325,7-Eleven Pendle Hill
326,7-Eleven Kings Park
327,7-Eleven Woolooware
328,7-Eleven Kellyville
329,7-Eleven North Rocks
330,Coles Express Avalon Beach
331,7-Eleven Dee Why
332,7-Eleven Strathfield South
333,7-Eleven Merrylands
334,7-Eleven West Pennant Hills
335,7-Eleven Greenacre
336,Coles Express Neutral Bay
337,Coles Express Dural
338,Coles Express Wahroonga
339,Coles Express Cammeray
340,BP Carss Park
341,Independent Glenfield
342,7-Eleven Parramatta
343,Coles Express Pymble
344,Coles Express St Ives
345,Coles Express Strathfield South
346,Metro Petroleum Blacktown
347,West Yagoona BP
348,METRO SUNNYHOLT RD BLACKTOWN
349,Caltex Woolworths Kellyville
350,Caltex Woolworths Strathfield
351,Caltex Woolworths Chullora
352,7-Eleven Mosman
353,7-Eleven Berowra
354,Payless Fuel Sydenham
355,BP Allambie Heights
356,United Petroleum Waterloo
357,Speedway Miranda
358,BP Enfield
359,BP Mascot
360,Metro Fuel Blacktown
361,Metro Belmore
362,United Petroleum Yagoona South
363,BP Gymea
364,Westside Freshwater
365,Ultra Manly
366,Metro Toongabbie
367,Caltex Woolworths Bankstown
368,Caltex Woolworths Menai
369,Metro Petroleum Bexley North
370,Caltex Woolworths Turramurra
371,Metro Fuel Kogarah
372,Budget Auburn
373,Metro Fairfield
374,Metro Fuel Condell Park
375,BP Kirrawee
376,BP Bexley
377,Metro Bankstown
378,Speedway West Ryde
379,BUDGET PETROL ASHFIELD
380,Metro Leichhardt
381,Caltex North Bondi
382,Caltex Rosebay
383,Caltex Woolworths Woollahra
384,Caltex Moorebank
385,Caltex Star Mart Dee Why
386,Caltex Alexandria
387,Caltex Starmart Punchbowl
388,Caltex Mascot
389,Caltex Manly Vale
390,Caltex Strathfield South
391,The Foodary Croydon
392,Costco Casula (Members only)
